2025-05-25T17:25:57.073416163Z ERROR Position LineCol { line: 1, col: 30 } column exceeds line length 29, clamping it
2025-05-25T17:25:57.475972719Z ERROR Position LineCol { line: 1, col: 29 } column exceeds line length 28, clamping it
2025-05-25T17:25:57.475993139Z ERROR Position LineCol { line: 1, col: 30 } column exceeds line length 28, clamping it
2025-05-25T17:25:58.864262702Z ERROR Position LineCol { line: 1, col: 30 } column exceeds line length 29, clamping it
2025-05-25T18:22:52.512978529Z ERROR Position LineCol { line: 3, col: 3 } column exceeds line length 2, clamping it
2025-05-25T18:22:52.513018109Z ERROR Position LineCol { line: 3, col: 4 } column exceeds line length 2, clamping it
2025-05-25T18:27:18.70274106Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:18.7027749Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:24.417094402Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:24.417120882Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:24.721611331Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:24.721646561Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:26.094405377Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:26.094437997Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:26.893378076Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:26.893411156Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:27.389161613Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:27.389195843Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:27.833449519Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:27.833483009Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:28.607237895Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:28.607272835Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:29.35940261Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:29.35943917Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:29.865092564Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:27:29.865126894Z ERROR Position LineCol { line: 3, col: 23 } column exceeds line length 1, clamping it
2025-05-25T18:30:31.68151892Z ERROR Position LineCol { line: 8, col: 7 } column exceeds line length 1, clamping it
2025-05-25T18:30:31.68155861Z ERROR Position LineCol { line: 8, col: 16 } column exceeds line length 1, clamping it
2025-05-25T18:30:40.842134468Z ERROR Position LineCol { line: 8, col: 7 } column exceeds line length 1, clamping it
2025-05-25T18:30:40.842157718Z ERROR Position LineCol { line: 8, col: 16 } column exceeds line length 1, clamping it
2025-05-25T18:30:41.354711368Z ERROR Position LineCol { line: 8, col: 7 } column exceeds line length 1, clamping it
